,dutch_name,latin_name,english_name,species_key,ebird_code
0,Fuut,Podiceps cristatus,Great Crested Grebe,2482054,grcgre1
1,Aalscholver,Phalacrocorax carbo,Great Cormorant,2481890,grecor
2,Blauwe Reiger,Ardea cinerea,Grey Heron,9797180,graher1
3,Knobbelzwaan,Cygnus olor,Mute Swan,2498343,mutswa
4,Kolgans,Anser albifrons,Greater White-fronted Goose,2498017,gwfgoo
5,Grauwe Gans,Anser anser,Greylag Goose,2498036,gragoo
6,Grote Canadese Gans,Branta canadensis,Greater Canada Goose,5232437,cangoo
7,Brandgans,Branta leucopsis,Barnacle Goose,5232464,bargoo
8,Nijlgans,Alopochen aegyptiaca,Egyptian Goose,2498252,egygoo
9,Bergeend,Tadorna tadorna,Common Shelduck,2498009,comshe
10,Smient,Mareca penelope,Eurasian Wigeon,8000602,eurwig
11,Krakeend,Mareca strepera,Gadwall,9362027,gadwal
12,Wintertaling,Anas crecca,Eurasian Teal,8214667,egwtea1
13,Wilde Eend,Anas platyrhynchos,Mallard,9761484,mallar3
14,Kuifeend,Aythya fuligula,Tufted Duck,2498261,tufduc
15,Sperwer,Accipiter nisus,Eurasian Sparrowhawk,2480637,eurspa1
16,Buizerd,Buteo buteo,Common Buzzard,2480537,combuz1
17,Torenvalk,Falco tinnunculus,Common Kestrel,9616058,eurkes
18,Fazant,Phasianus colchicus,Common Pheasant,9752149,rinphe
19,Waterhoen,Gallinula chloropus,Common Moorhen,5228199,commoo3
20,Meerkoet,Fulica atra,Eurasian Coot,2474377,eurcoo
21,Scholekster,Haematopus ostralegus,Eurasian Oystercatcher,7788295,euroys1
22,Kievit,Vanellus vanellus,Northern Lapwing,2480242,norlap
23,Kokmeeuw,Chroicocephalus ridibundus,Black-headed Gull,6065824,bkhgul
24,Stormmeeuw,Larus canus,Mew Gull,7982160,mewgul
25,Kleine Mantelmeeuw,Larus fuscus,Lesser Black-backed Gull,2481174,lbbgul
26,Zilvermeeuw,Larus argentatus,European Herring Gull,2481139,hergul
27,Stadsduif,Columba livia,Feral Rock Dove,2495414,rocpig
28,Holenduif,Columba oenas,Stock Dove,2495471,stodov1
29,Houtduif,Columba palumbus,Common Wood Pigeon,2495455,cowpig1
30,Turkse Tortel,Streptopelia decaocto,Eurasian Collared Dove,2495696,eucdov
31,Halsbandparkiet,Psittacula krameri,Rose-ringed Parakeet,2479226,rorpar
32,Gierzwaluw,Apus apus,Common Swift,5228676,comswi
33,Grote Bonte Specht,Dendrocopos major,Great Spotted Woodpecker,2477968,grswoo
34,Veldleeuwerik,Alauda arvensis,Eurasian Skylark,8077224,skylar
35,Boerenzwaluw,Hirundo rustica,Barn Swallow,9515886,barswa
36,Huiszwaluw,Delichon urbicum,Common House Martin,2489214,cohmar1
37,Boompieper,Anthus trivialis,Tree Pipit,2490246,trepip
38,Graspieper,Anthus pratensis,Meadow Pipit,2490266,meapip1
39,Gele Kwikstaart,Motacilla flava,Western Yellow Wagtail,9701857,eaywag1
40,Winterkoning,Troglodytes troglodytes,Eurasian Wren,5231438,winwre4
41,Heggenmus,Prunella modularis,Dunnock,5231763,dunnoc1
42,Roodborst,Erithacus rubecula,European Robin,2492462,eurrob1
43,Merel,Turdus merula,Common Blackbird,2490719,eurbla
44,Kramsvogel,Turdus pilaris,Fieldfare,2490737,fieldf
45,Zanglijster,Turdus philomelos,Song Thrush,7901064,sonthr1
46,Koperwiek,Turdus iliacus,Redwing,2490781,redwin
47,Bosrietzanger,Acrocephalus palustris,Marsh Warbler,2493136,marwar3
48,Kleine Karekiet,Acrocephalus scirpaceus,Eurasian Reed Warbler,2493118,eurwar1
49,Grasmus,Curruca communis,Common Whitethroat,10507373,grewhi1
50,Tuinfluiter,Sylvia borin,Garden Warbler,2492942,garwar1
51,Zwartkop,Sylvia atricapilla,Eurasian Blackcap,2492956,blackc1
52,Tjiftjaf,Phylloscopus collybita,Common Chiffchaff,2493091,comchi1
53,Fitis,Phylloscopus trochilus,Willow Warbler,2493052,wlwwar
54,Goudhaan,Regulus regulus,Goldcrest,2484596,goldcr1
55,Zwarte Mees,Periparus ater,Coal Tit,2487871,coatit2
56,Pimpelmees,Cyanistes caeruleus,Eurasian Blue Tit,2487879,blutit
57,Koolmees,Parus major,Great Tit,9705453,gretit1
58,Boomklever,Sitta europaea,Eurasian Nuthatch,2484916,eurnut2
59,Boomkruiper,Certhia brachydactyla,Short-toed Treecreeper,7806848,shttre1
60,Gaai,Garrulus glandarius,Eurasian Jay,5229493,eurjay1
61,Ekster,Pica pica,Eurasian Magpie,5229490,eurmag1
62,Kauw,Corvus monedula,Western Jackdaw,6100954,eurjac
63,Roek,Corvus frugilegus,Rook,2482513,rook1
64,Zwarte Kraai,Corvus corone,Carrion Crow,9409796,carcro1
65,Spreeuw,Sturnus vulgaris,Common Starling,9809229,eursta
66,Huismus,Passer domesticus,House Sparrow,5231190,houspa
67,Ringmus,Passer montanus,Eurasian Tree Sparrow,5231198,eutspa
68,Vink,Fringilla coelebs,Common Chaffinch,2494422,comcha
69,Groenling,Chloris chloris,European Greenfinch,5845582,eurgre1
70,Putter,Carduelis carduelis,European Goldfinch,2494686,eurgol
71,Kneu,Linaria cannabina,Common Linnet,8104397,eurlin1
72,Rietgors,Emberiza schoeniclus,Common Reed Bunting,2491557,reebun
73,Roodkeelduiker,Gavia stellata,Red-throated Loon,2481958,retloo
74,Dodaars,Tachybaptus ruficollis,Little Grebe,2482048,litgre1
75,Roodhalsfuut,Podiceps grisegena,Red-necked Grebe,2482051,rengre
76,Geoorde Fuut,Podiceps nigricollis,Black-necked Grebe,2482065,eargre
77,Noordse Stormvogel,Fulmarus glacialis,Northern Fulmar,2481433,norful
78,Jan-van-gent,Morus bassanus,Northern Gannet,2480964,norgan
79,Roerdomp,Botaurus stellaris,Eurasian Bittern,2480910,grebit1
80,Grote Zilverreiger,Ardea alba,Great Egret,9752617,greegr
81,Purperreiger,Ardea purpurea,Purple Heron,2480934,purher1
82,Ooievaar,Ciconia ciconia,White Stork,2481912,whisto1
